NOMBRE_ESCUELA;FK_ID_COMUNA
ESCUELA PABLO NERUDA;ANTOFAGASTA - TOCOPILLA
ESCUELA L.GRAL.BERNARDO O´HIGGINS R.;ANTOFAGASTA - TOCOPILLA
ESCUELA ARTURO PRAT CHACON;ANTOFAGASTA - TOCOPILLA
ESCUELA ESTADOS UNIDOS DE NORTEAMERICA;ANTOFAGASTA - TOCOPILLA
COLEGIO BICENTENARIO SAGRADA FAMILIA;ANTOFAGASTA - TOCOPILLA
ESCUELA ARTURO PEREZ CANTO;ANTOFAGASTA - TOCOPILLA
LICEO H.C. T.P. MARIA ELENA;ANTOFAGASTA - TOCOPILLA
LICEO BICENTENARIO LUIS CRUZ MARTINEZ;EL LOA
LICEO FRANCISCO DE AGUIRRE;EL LOA
LICEO BICENTENARIO POLITECNICO CESAREO AGUIRRE GOYENECHEA;EL LOA
LICEO MINERO AMÉRICA;EL LOA
CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A;EL LOA
ESCUELA CLAUDIO ARRAU;EL LOA
ESCUELA GRECIA;EL LOA
ESCUELA REPUBLICA DE BOLIVIA;EL LOA
ESCUELA BASICA EMILIO SOTOMAYOR;EL LOA
ESCUELA BASICA PRESIDENTE BALMACEDA;EL LOA
ESCUELA BASICA VADO DE TOPATER;EL LOA
ESCUELA REPUBLICA DE CHILE;EL LOA
ESCUELA BASICA ANDRES BELLO;EL LOA
ESCUELA BASICA JOHN FITZGERALD KENNEDY;EL LOA
ESCUELA BASICA PEDRO VERGARA KELLER;EL LOA
ESCUELA BASICA 21 DE MAYO;EL LOA
ESCUELA BASICA REPUBLICA DE FRANCIA;EL LOA
ESCUELA BASICA PUKARA;EL LOA
ESCUELA BASICA SENORA DE LA CANDELARIA;EL LOA
ESCUELA BASICA SAN JOSE;EL LOA
ESCUELA BASICA SAN FRANCISCO;EL LOA
COLEGIO ADVENTISTA DE CALAMA;EL LOA
FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA;EL LOA
COLEGIO EJERCITO DE SALVACION;EL LOA
INSTITUTO OBISPO SILVA LEZAETA;EL LOA
COLEGIO CHUQUICAMATA;EL LOA
ESC. BASICA RURAL SAN ANTONIO DE PADUA;EL LOA
ESCUELA BASICA SAN PEDRO DE ATACAMA;EL LOA
COMPLEJO EDUCACIONAL TOCONAO;EL LOA
ESCUELA BASICA CAMAR;EL LOA
ESCUELA BASICA SOLOR;EL LOA
ESCUELA BASICA SAN ROQUE;EL LOA
ESCUELA BASICA ANDINA;EL LOA
ESCUELA BASICA TALABRE;EL LOA
ESCUELA BASICA SAN BARTOLOME;EL LOA
LICEO INDUSTRIAL EULOGIO GORDO MONEO;ANTOFAGASTA - TOCOPILLA
LICEO COMERCIAL JERARDO MUNOZ CAMPOS;ANTOFAGASTA - TOCOPILLA
LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL;ANTOFAGASTA - TOCOPILLA
LICEO TECNICO ANTOFAGASTA;ANTOFAGASTA - TOCOPILLA
LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA;ANTOFAGASTA - TOCOPILLA
LICEO BICENTENARIO MARTA NAREA DIAZ;ANTOFAGASTA - TOCOPILLA
LICEO LA PORTADA;ANTOFAGASTA - TOCOPILLA
LICEO DOMINGO HERRERA RIVERA;ANTOFAGASTA - TOCOPILLA
ESCUELA JAPON;ANTOFAGASTA - TOCOPILLA
ESCUELA ESPANA;ANTOFAGASTA - TOCOPILLA
ESCUELA PADRE GUSTAVO LE PAIGE DE WALQUE;ANTOFAGASTA - TOCOPILLA
ESCUELA REPUBLICA DE ITALIA;ANTOFAGASTA - TOCOPILLA
ESCUELA JOSE PAPIC RADNIC;ANTOFAGASTA - TOCOPILLA
ESCUELA PROFESORA LJUBICA DOMIC WUTH;ANTOFAGASTA - TOCOPILLA
ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS;ANTOFAGASTA - TOCOPILLA
ESCUELA ALCALDE MAXIMILIANO POBLETE;ANTOFAGASTA - TOCOPILLA
ESCUELA JUAN LOPEZ;ANTOFAGASTA - TOCOPILLA
ESCUELA REPUBLICA ARGENTINA;ANTOFAGASTA - TOCOPILLA
LICEO BICENTENARIO ANDRÉS SABELLA;ANTOFAGASTA - TOCOPILLA
ESCUELA HUMBERTO GONZALEZ ECHEGOYEN;ANTOFAGASTA - TOCOPILLA
ESCUELA HUANCHACA;ANTOFAGASTA - TOCOPILLA
ESCUELA CLAUDIO MATTE PEREZ;ANTOFAGASTA - TOCOPILLA
ESCUELA ECUADOR;ANTOFAGASTA - TOCOPILLA
ESCUELA ARTURO PRAT;ANTOFAGASTA - TOCOPILLA
ESCUELA HEROES DE LA CONCEPCION;ANTOFAGASTA - TOCOPILLA
ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA;ANTOFAGASTA - TOCOPILLA
ESCUELA LAS ROCAS;ANTOFAGASTA - TOCOPILLA
ESCUELA EDDA CUNEO DONNAGIO;ANTOFAGASTA - TOCOPILLA
ESCUELA LA BANDERA;ANTOFAGASTA - TOCOPILLA
LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`;ANTOFAGASTA - TOCOPILLA
ESCUELA GENERAL MANUEL BAQUEDANO;ANTOFAGASTA - TOCOPILLA
ESCUELA FUNDACION MINERA ESCONDIDA;ANTOFAGASTA - TOCOPILLA
ESCUELA SANTIAGO AMENGUAL B.;ANTOFAGASTA - TOCOPILLA
LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO;ANTOFAGASTA - TOCOPILLA
COLEGIO MISIONERO JOSE LANCASTER;ANTOFAGASTA - TOCOPILLA
LICEO EXPERIMENTAL ARTISTICO-APLICACION;ANTOFAGASTA - TOCOPILLA
COLEGIO SANTA TERESITA;ANTOFAGASTA - TOCOPILLA
COLEGIO ADVENTISTA DE ANTOFAGASTA;ANTOFAGASTA - TOCOPILLA
COLEGIO INGLES SAN JOSE;ANTOFAGASTA - TOCOPILLA
ESCUELA PRESBITERIANA;ANTOFAGASTA - TOCOPILLA
COLEGIO SANTA EMILIA;ANTOFAGASTA - TOCOPILLA
COLEGIO LIDIA MORENO;ANTOFAGASTA - TOCOPILLA
COLEGIO CORAZON DE MARIA;ANTOFAGASTA - TOCOPILLA
COL. SAN LUIS;ANTOFAGASTA - TOCOPILLA
INS. SANTA MARIA;ANTOFAGASTA - TOCOPILLA
COL. THE ANTOFAGASTA BRITISH SCHOOL;ANTOFAGASTA - TOCOPILLA
COL. ANTOFAGASTA;ANTOFAGASTA - TOCOPILLA
COLEGIO EAGLE SCHOOL;ANTOFAGASTA - TOCOPILLA
HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA);ANTOFAGASTA - TOCOPILLA
COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT;ANTOFAGASTA - TOCOPILLA
ESCUELA BASICA JULIA HERRERA VARAS;ANTOFAGASTA - TOCOPILLA
ESCUELA LUCILA GODOY ALCAYAGA;ANTOFAGASTA - TOCOPILLA
ESCUELA ESTACION BAQUEDANO;ANTOFAGASTA - TOCOPILLA
COMPLEJO EDUCATIVO CARACOLES;ANTOFAGASTA - TOCOPILLA
LICEO POLITECNICO JOSE MIGUEL QUIROZ;ANTOFAGASTA - TOCOPILLA
LICEO JUAN CORTES-MONROY CORTES;ANTOFAGASTA - TOCOPILLA
ESCUELA HOGAR VICTORIANO QUINTEROS SOTO;ANTOFAGASTA - TOCOPILLA
ESCUELA VICTOR CARVAJAL MEZA;ANTOFAGASTA - TOCOPILLA
ESCUELA PARANAL;ANTOFAGASTA - TOCOPILLA
LICEO FEDERICO VARELA;COPIAPÓ
ESCUELA BÁSICA DIEGO PORTALES PALAZUELOS;COPIAPÓ
ESCUELA BÁSICA PEDRO LUJAN;COPIAPÓ
ESCUELA GASPAR CABRALES, ARTÍSTICA Y DEPORTIVA;COPIAPÓ
LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING;COPIAPÓ
ESCUELA ALIRO LAMAS CASTILLO;COPIAPÓ
ESCUELA BÁSICA EMPERATRIZ SEPÚLVEDA LANDEROS;COPIAPÓ
ESCUELA COEDUCACIONAL PARTICULAR;COPIAPÓ
LICEO DIEGO DE ALMEIDA;COPIAPÓ
INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ;COPIAPÓ
LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO;COPIAPÓ
LICEO JOSÉ ANTONIO CARVAJAL;COPIAPÓ
LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY;COPIAPÓ
ESCUELA BERNARDO O HIGGINS;COPIAPÓ
ESCUELA LAURA ROBLES SILVA;COPIAPÓ
ESCUELA LOS ESTANDARTES;COPIAPÓ
ESCUELA VICENTE SEPÚLVEDA ROJO;COPIAPÓ
ESCUELA JESÚS FERNÁNDEZ HIDALGO;COPIAPÓ
ESCUELA PEDRO LEÓN GALLO;COPIAPÓ
ESCUELA JOSÉ MANSO DE VELASCO;COPIAPÓ
ESCUELA LAS CANTERAS;COPIAPÓ
ESCUELA LAS BRISAS;COPIAPÓ
LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE;COPIAPÓ
ESCUELA ABRAHAM SEPÚLVEDA PIZARRO;COPIAPÓ
COLEGIO BUEN PASTOR;COPIAPÓ
ESCUELA ISABEL PEÑA MORALES;COPIAPÓ
ESCUELA HERNÁN MÁRQUEZ HUERTA;COPIAPÓ
LICEO FERNANDO ARIZTÍA RUIZ;COPIAPÓ
ESCUELA BRUNO ZAVALA FREDES;COPIAPÓ
ESCUELA SAN PEDRO;COPIAPÓ
ESCUELA LUIS CRUZ MARTÍNEZ;COPIAPÓ
LICEO CATÓLICO ATACAMA;COPIAPÓ
LICEO POLITÉCNICO BELÉN;COPIAPÓ
LICEO SAGRADO CORAZÓN;COPIAPÓ
COLEGIO ADVENTISTA DE COPIAPÓ;COPIAPÓ
ESCUELA SAN VICENTE DE PAUL;COPIAPÓ
ESCUELA TÉCNICO PROFESIONAL;COPIAPÓ
LICEO MANUEL BLANCO ENCALADA;COPIAPÓ
COLEGIO PARROQUIAL PADRE NEGRO;COPIAPÓ
ESCUELA DE CONCENTRACIÓN;COPIAPÓ
ESCUELA VICTOR MANUEL SÁNCHEZ CABAÑAS;COPIAPÓ
ESCUELA LUIS URIBE ORREGO;COPIAPÓ
ESCUELA PAUL HARRIS;COPIAPÓ
ESCUELA AMOLANAS;COPIAPÓ
ESCUELA SAN ANTONIO;COPIAPÓ
LICEO PEDRO TRONCOSO MACHUCA;HUASCO
LICEO JOSÉ SANTOS OSSA;HUASCO
ESCUELA HERMANOS CARRERA;HUASCO
ESCUELA GREGORIO CASTILLO MARÍN;HUASCO
ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS;HUASCO
ESCUELA ARTURO PÉREZ CANTO;HUASCO
ESCUELA BÁSICA ESPAÑA;HUASCO
ESCUELA JOSÉ CAROCA LAFLOR;HUASCO
ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA;HUASCO
ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ;HUASCO
ESCUELA HERNÁN ARAVENA CONTRERAS;HUASCO
ESCUELA BÁSICA IGNACIO FRANCO GALLO;HUASCO
ESCUELA BÁSICA JUSTINO LEIVA AMOR;HUASCO
ESCUELA BÁSICA SARA BEMBOW VILLEGAS;HUASCO
ESCUELA BÁSICA SOR TERESA DE LOS ANDES;HUASCO
LICEO SANTA MARTA;HUASCO
LICEO SAN FRANCISCO;HUASCO
ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA;HUASCO
ESCUELA FORTUNATO SOZA RODRÍGUEZ;HUASCO
ESCUELA SAMUEL E. CASTILLO LOPEZ;HUASCO
ESCUELA DE MAITENCILLO;HUASCO
ESCUELA BÁSICA YERBAS BUENAS;HUASCO
LICEO JAPÓN;HUASCO
ESCUELA BÁSICA JOSÉ MIGUEL CARRERA;HUASCO
ESCUELA EL OLIVAR;HUASCO
COLEGIO PARTICULAR ENGLISH COLLEGE;HUASCO
ESCUELA EDUCADOR ARTURO ALVEAR RAMOS;HUASCO
ESCUELA AGLADE MARÍN VARGAS;HUASCO
ESCUELA DE CHOLLAY;HUASCO
ESCUELA DE LA PAMPA;HUASCO
ESCUELA ALGARROBILLA;HUASCO
ESCUELA RICARDO CAMPILLAY CONTRERAS;HUASCO
ESCUELA BÁSICA RURAL EL TAMBO;HUASCO
ESCUELA DE LAS MARQUESAS;HUASCO
ESCUELA DE LAS BREAS;HUASCO
ESCUELA DE CHIGUINTO;HUASCO
ESCUELA DE EL CORRAL;HUASCO
LICEO GABRIELA MISTRAL DE LA SERENA;ELQUI
LICEO GREGORIO CORDOVEZ;ELQUI
LICEO TECNICO MARTA BRUNET;ELQUI
COLEGIO ARTURO PRAT CHACON;ELQUI
COLEGIO VICTOR DOMINGO SILVA;ELQUI
COLEGIO JAVIERA CARRERA;ELQUI
ESCUELA ALONSO DE ERCILLA;ELQUI
COLEGIO JAPON;ELQUI
COLEGIO JOSE MANUEL BALMACEDA;ELQUI
COLEGIO HEROES DE LA CONCEPCION;ELQUI
ESCUELA GERMAN RIESCO;ELQUI
COLEGIO GABRIEL GONZALEZ VIDELA;ELQUI
COLEGIO PEDRO AGUIRRE CERDA;ELQUI
CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO;ELQUI
COLEGIO DARIO SALAS;ELQUI
COLEGIO VILLA SAN BARTOLOME;ELQUI
COLEGIO JOSE MIGUEL CARRERA;ELQUI
COLEGIO BERNARDA MORIN;ELQUI
COLEGIO DE ALGARROBITO;ELQUI
ESCUELA DE ISLON;ELQUI
ESCUELA DE LAMBERT;ELQUI
COLEGIO ALTOVALSOL;ELQUI
COLEGIO COQUIMBITO;ELQUI
ESCUELA DE COLONIA ALFALFARES;ELQUI
ESCUELA DE ALMIRANTE LATORRE;ELQUI
ESCUELA DE LAS ROJAS;ELQUI
ESCUELA DE CHACAY ALTO;ELQUI
ESCUELA DE PELICANA;ELQUI
ESCUELA DE ROMERO;ELQUI
ESCUELA DE SATURNO;ELQUI
COLEGIO PUNTA DE TEATINOS;ELQUI
COLEGIO QUEBRADA DE TALCA;ELQUI
COLEGIO EL ROMERAL;ELQUI
COLEGIO CALETA SAN PEDRO;ELQUI
COLEGIO LA ESTRELLA;ELQUI
COLEGIO ADVENTISTA LA SERENA;ELQUI
COLEGIO ISABEL RIQUELME;ELQUI
COLEGIO SAN FRANCISCO COLL;ELQUI
COLEGIO SAN ANTONIO;ELQUI
COLEGIO ELENA BETTINI;ELQUI
ESCUELA PARTICULAR TERESA VIDELA DE G;ELQUI
ESCUELA INDUSTRIAL SALESIANA SAN RAMON;ELQUI
COLEGIO PROVIDENCIA;ELQUI
LICEO BICENTENARIO DE EXCELENCIA IGNACIO CARRERA PINTO;ELQUI
COLEGIO SEMINARIO CONCILIAR;ELQUI
COLEGIO GERONIMO RENDIC;ELQUI
ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN;ELQUI
COLEGIO ANDRES BELLO;ELQUI
COLEGIO SAGRADOS CORAZONES;ELQUI
COLEGIO THE INTERNATIONAL SCHOOL;ELQUI
COLEGIO SERENA;ELQUI
COLEGIO SANTO DOMINGO;ELQUI
COLEGIO PARTICULAR SAN JOSE;ELQUI
COLEGIO INGLES CATOLICO;ELQUI
COLEGIO PEDRO PABLO MUÑOZ;ELQUI
ESCUELA DE PUNTA DE CHOROS;ELQUI
ESCUELA JOSE SANTOS OSSA;ELQUI
ESCUELA BASICA CARLOS CONDELL;ELQUI
ESCUELA DE PUNTA COLORADA;ELQUI
ESCUELA BASICA SAN ANDRES;ELQUI
ESCUELA DE LOS CHOROS;ELQUI
LICEO BICENTENARIO DE EXCELENCIA INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO;ELQUI
LICEO INDUSTRIAL JOSE TOMAS DE URMENETA;ELQUI
LICEO DIEGO PORTALES;ELQUI
ESCUELA GUILLERMO CERECEDA;ELQUI
COLEGIO DE ARTES CLAUDIO ARRAU;ELQUI
ESCUELA PRESIDENTE ANIBAL PINTO;ELQUI
ESCUELA COQUIMBO;ELQUI
ESCUELA CARDENAL JOSE MARIA CARO;ELQUI
COLEGIO SANTA CECILIA;ELQUI
ESCUELA SANTO TOMAS DE AQUINO;ELQUI
ESCUELA JOSE ALFARO ALFARO;ELQUI
ESCUELA BASICA MARIO MUNOZ SILVA;ELQUI
ESCUELA TOMASA OLIVARES CAAMANO;ELQUI
ESCUELA BASICA DAVID LEON TAPIA;ELQUI
ESCUELA DE PENUELAS;ELQUI
COLEGIO PABLO NERUDA;ELQUI
COLEGIO LA HERRADURA;ELQUI
ESCUELA SAN RAFAEL;ELQUI
ESCUELA BASICA MANUEL DE SALAS;ELQUI
ESCUELA DE HUACHALALUME;ELQUI
ESCUELA DE TOTORALILLO;ELQUI
ESCUELA DE CAMARONES;ELQUI
ESCUELA DE LAS BARRANCAS;ELQUI
ESCUELA DE LAS CARDAS;ELQUI
ESCUELA DE EL PENON;ELQUI
ESCUELA DE TAMBILLOS;ELQUI
ESCUELA DE PUERTO ALDEA;ELQUI
ESCUELA DE EL TANGUE;ELQUI
COLEGIO BERNARDO O´HIGGINS;ELQUI
COLEGIO MANUEL MONTT;ELQUI
COLEGIO SANTA MARTA;ELQUI
COLEGIO PARTICULAR GABRIELA MISTRAL;ELQUI
ESCUELA PARTICULAR METODISTA;ELQUI
COLEGIO PARTICULAR SAN IGNACIO;ELQUI
LICEO BICENTENARIO DE EXCELENCIA LICEO PEDRO REGALADO S. VIDELA O.;ELQUI
ESCUELA LUIS CRUZ MARTINEZ;ELQUI
ESCUELA PATRICIO LYNCH;ELQUI
ESCUELA PADRE BLAS HERNANDEZ SANCHEZ;ELQUI
ESCUELA LUIS AMENABAR OSSA;ELQUI
COLEGIO PARROQUIAL DE ANDACOLLO;ELQUI
LICEO CARLOS ROBERTO MONDACA CORTES;ELQUI
ESCUELA BASICA LUCILA GODOY ALCAYAGA;ELQUI
ESCUELA EDMUNDO VIDAL CARDENAS;ELQUI
ESCUELA NEFTALI REYES;ELQUI
ESCUELA RIOS DE ELQUI;ELQUI
ESCUELA DE DIAGUITAS JUAN TORRES M.;ELQUI
ESCUELA JOSE ABELARDO NUNEZ;ELQUI
ESCUELA DE VINITA ALTA;ELQUI
ESCUELA DE SAN CARLOS;ELQUI
ESCUELA AMELIA BARAHONA MUJICA;ELQUI
ESCUELA FEDERICO BARNES PAYNE;ELQUI
ESCUELA DE EL ARENAL;ELQUI
ESCUELA DAGOBERTO CAMPOS NUNEZ;ELQUI
ESCUELA DE LA CALERA;ELQUI
ESCUELA BÁSICA MARIO AQUILES RODRIGUEZ;ELQUI
ESCUELA DE HUANTA;ELQUI
ESCUELA DE CHAPILCA;ELQUI
ESCUELA DE VARILLAR;ELQUI
LICEO BICENTENARIO DE EXCELENCIA COLEGIO ANTONIO VARAS;ELQUI
ESCUELA MUNICIPAL CIELO CLARO--PAIHUANO;ELQUI
ESCUELA JERONIMO GODOY VILLANUEVA;ELQUI
ESCUELA BASICA HECTOR MANUEL HERNANDEZ;ELQUI
ESCUELA BASICA SANTIAGO BUERAS A.;ELQUI
ESCUELA MUNICIPAL LA ORTIGA;ELQUI
ESCUELA MUNICIPAL ALCOHUAZ;ELQUI
ESCUELA MARIA ISABEL PERALTA P.;ELQUI
LICEO ESTELA AVILA DE PERRY;LIMARÍ
LICEO ALEJANDRO ALVAREZ JOFRE;LIMARÍ
LICEO BICENTENARIO DE EXCELENCIA  POLITECNICO DE OVALLE;LIMARÍ
COLEGIO FRAY JORGE;LIMARÍ
ESCUELA BASICA HELENE LANG;LIMARÍ
ESCUELA ANTONIO TIRADO LANAS;LIMARÍ
ESCUELA BASICA OSCAR ARAYA MOLINA;LIMARÍ
ESCUELA BASICA JOSE TOMAS OVALLE B.;LIMARÍ
ESCUELA GUARDIAMARINA ERNESTO RIQUELME V;LIMARÍ
ESCUELA BÁSICA ARTURO ALESSANDRI PALMA;LIMARÍ
ESCUELA ARTURO VILLALON SIEULANNE;LIMARÍ
ESCUELA BASICA VISTA HERMOSA;LIMARÍ
ESCUELA BASICA BERNARDO O¦HIGGINS RIQUELME;LIMARÍ
ESC.PADRE JOSEPH BENEDIKT STEGMEIER;LIMARÍ
ESCUELA MARCOS MACUADA OGALDE;LIMARÍ
ESCUELA BASICA FLORENCIO ESPINOZA LOPEZ;LIMARÍ
ESC. HEBERTO VELAZQUEZ VELAZQUEZ;LIMARÍ
ESCUELA VILLORRIO EL TALHUEN;LIMARÍ
ESCUELA BASICA CALETA EL MAITEN;LIMARÍ
ESCUELA EL CRISOL;LIMARÍ
ESCUELA LA PALOMA;LIMARÍ
ESCUELA EL ALGARROBO;LIMARÍ
ESCUELA BASICA LOS OLIVOS;LIMARÍ
ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA;LIMARÍ
ESCUELA EL TRAPICHE;LIMARÍ
ESCUELA PADRE DAMIAN HEREDIA;LIMARÍ
ESCUELA LA QUIROGA;LIMARÍ
ESCUELA BASICA LOS SOSSAS;LIMARÍ
ESCUELA BASICA VALENTIN LETELIER;LIMARÍ
ESCUELA PEDRO ENRIQUE ALFONSO BARRIOS;LIMARÍ
ESCUELA CARACHILLA;LIMARÍ
ESCUELA ORURO;LIMARÍ
